,PaperName,Year,sources,place,authors,hyperlink,citationG,citationO,citationI
34,A Robust Batch Bayesian Optimization for Analog Circuit Synthesis via Local Penalization.,2021,ACM, Taiwan,"Jiangli Huang, Fan Yang, Changhao Yan, Dian Zhou, Xuan Zeng",https://doi.org/10.1145/3394885.3431543,1,1,0
35,Layout Symmetry Annotation for Analog Circuits with Graph Neural Networks.,2021,ACM, Taiwan,"Xiaohan Gao, Chenhui Deng, Mingjie Liu, Zhiru Zhang, David Z. Pan, Yibo Lin",https://doi.org/10.1145/3394885.3431545,13,7,0
36,Fast and Efficient Constraint Evaluation of Analog Layout Using Machine Learning Models.,2021,ACM, Taiwan,"Tonmoy Dhar, Jitesh Poojary, Yaguang Li, Kishor Kunal, Meghna Madhusudan, Arvind K. Sharma, Susmita Dey Manasi, Jiang Hu, Ramesh Harjani, Sachin S. Sapatnekar",https://doi.org/10.1145/3394885.3431547,3,0,0
37,TreeNet: Deep Point Cloud Embedding for Routing Tree Construction.,2021,ACM, Taiwan,"Wei Li, Yuxiao Qu, Gengjie Chen, Yuzhe Ma, Bei Yu",https://doi.org/10.1145/3394885.3431566,4,0,0
38,A Unified Printed Circuit Board Routing Algorithm With Complicated Constraints and Differential Pairs.,2021,ACM, Taiwan,"Ting-Chou Lin, Devon J. Merrill, Yen-Yi Wu, Chester Holtz, Chung-Kuan Cheng",https://doi.org/10.1145/3394885.3431568,3,0,0
39,Multi-FPGA Co-optimization: Hybrid Routing and Competitive-based Time Division Multiplexing Assignment.,2021,ACM, Taiwan,"Dan Zheng, Xiaopeng Zhang, Chak-Wa Pui, Evangeline F. Y. Young",https://doi.org/10.1145/3394885.3431565,1,0,0
40,Boosting Pin Accessibility Through Cell Layout Topology Diversification.,2021,ACM, Taiwan,"Suwan Kim, Kyeongrok Jo, Taewhan Kim",https://doi.org/10.1145/3394885.3431567,6,2,0
41,"Approximate Computing for ML: State-of-the-art, Challenges and Visions.",2021,ACM, Taiwan,"Georgios Zervakis, Hassaan Saadat, Hussam Amrouch, Andreas Gerstlauer, Sri Parameswaran, Jörg Henkel",https://doi.org/10.1145/3394885.3431632,15,0,0
42,Bridging the Frequency Gap in Heterogeneous 3D SoCs through Technology-Specific NoC Router Architectures.,2021,ACM, Taiwan,"Jan Moritz Joseph, Lennart Bamberg, Geonhwa Jeong, Ruei-Ting Chien, Rainer Leupers, Alberto García-Ortiz, Tushar Krishna, Thilo Pionteck",https://doi.org/10.1145/3394885.3431421,1,1,0
43,Combining Memory Partitioning and Subtask Generation for Parallel Data Access on CGRAs.,2021,ACM, Taiwan,"Cheng Li, Jiangyuan Gu, Shouyi Yin, Leibo Liu, Shaojun Wei",https://doi.org/10.1145/3394885.3431414,1,0,0
